"subj_idx","part","difficulty","association","rt","acc","group","task_type"
36,"RDK_color","easy","other",1334.53571428571,0.875,"color","relevant"
36,"RDK_color","easy","self",1118.83870967742,0.96875,"color","relevant"
36,"RDK_color","hard","other",1733.88,0.78125,"color","relevant"
36,"RDK_color","hard","self",1537.78947368421,0.612903225806452,"color","relevant"
36,"RDK_motion","easy","other",2094.5,0.592592592592593,"color","irrelevant"
36,"RDK_motion","easy","self",1190.68,0.78125,"color","irrelevant"
36,"RDK_motion","hard","other",1593,0.642857142857143,"color","irrelevant"
36,"RDK_motion","hard","self",1476.88,0.806451612903226,"color","irrelevant"
36,"match_RDK","easy","other",1897.1,0.943396226415094,"color",NA
36,"match_RDK","easy","self",2140.88372093023,0.86,"color",NA
36,"match_RDK","hard","other",2406.47727272727,0.897959183673469,"color",NA
36,"match_RDK","hard","self",2263.38888888889,0.346153846153846,"color",NA
37,"RDK_color","easy","other",1214.93103448276,0.90625,"color","relevant"
37,"RDK_color","easy","self",1339.35714285714,0.875,"color","relevant"
37,"RDK_color","hard","other",1512.27272727273,0.733333333333333,"color","relevant"
37,"RDK_color","hard","self",1155.71428571429,0.65625,"color","relevant"
37,"RDK_motion","easy","other",948.214285714286,0.4375,"color","irrelevant"
37,"RDK_motion","easy","self",992.190476190476,0.65625,"color","irrelevant"
37,"RDK_motion","hard","other",971.941176470588,0.53125,"color","irrelevant"
37,"RDK_motion","hard","self",978.411764705882,0.53125,"color","irrelevant"
37,"match_RDK","easy","other",1696.65384615385,0.981132075471698,"color",NA
37,"match_RDK","easy","self",1713.94230769231,0.945454545454545,"color",NA
37,"match_RDK","hard","other",1930.21212121212,0.611111111111111,"color",NA
37,"match_RDK","hard","self",1705.05263157895,0.716981132075472,"color",NA
38,"RDK_color","easy","other",950.1,0.625,"color","relevant"
38,"RDK_color","easy","self",780.148148148148,0.84375,"color","relevant"
38,"RDK_color","hard","other",783.333333333333,0.375,"color","relevant"
38,"RDK_color","hard","self",806.793103448276,0.90625,"color","relevant"
38,"RDK_motion","easy","other",977.8,0.645161290322581,"color","irrelevant"
38,"RDK_motion","easy","self",819,0.548387096774194,"color","irrelevant"
38,"RDK_motion","hard","other",984.533333333333,0.483870967741935,"color","irrelevant"
38,"RDK_motion","hard","self",1039.28571428571,0.4375,"color","irrelevant"
38,"match_RDK","easy","other",1670.68965517241,0.547169811320755,"color",NA
38,"match_RDK","easy","self",1513.93617021277,0.854545454545454,"color",NA
38,"match_RDK","hard","other",2125.5,0.392857142857143,"color",NA
38,"match_RDK","hard","self",1902.71739130435,0.821428571428571,"color",NA
39,"RDK_color","easy","other",2372.2,0.892857142857143,"color","relevant"
39,"RDK_color","easy","self",1328.96774193548,1,"color","relevant"
39,"RDK_color","hard","other",2464.4375,0.695652173913043,"color","relevant"
39,"RDK_color","hard","self",1541,0.838709677419355,"color","relevant"
39,"RDK_motion","easy","other",1486.94444444444,0.6,"color","irrelevant"
39,"RDK_motion","easy","self",1449.66666666667,0.827586206896552,"color","irrelevant"
39,"RDK_motion","hard","other",2050.85714285714,0.636363636363636,"color","irrelevant"
39,"RDK_motion","hard","self",1762.38888888889,0.692307692307692,"color","irrelevant"
39,"match_RDK","easy","other",2145.65853658537,0.640625,"color",NA
39,"match_RDK","easy","self",1551.30508474576,0.936507936507937,"color",NA
39,"match_RDK","hard","other",2401.5652173913,0.425925925925926,"color",NA
39,"match_RDK","hard","self",1710.9387755102,0.816666666666667,"color",NA
40,"RDK_color","easy","other",1348.45454545455,0.785714285714286,"color","relevant"
40,"RDK_color","easy","self",1464.5,0.827586206896552,"color","relevant"
40,"RDK_color","hard","other",1463.69230769231,0.433333333333333,"color","relevant"
40,"RDK_color","hard","self",1792.57142857143,0.583333333333333,"color","relevant"
40,"RDK_motion","easy","other",1651.89473684211,0.730769230769231,"color","irrelevant"
40,"RDK_motion","easy","self",1649.42857142857,0.724137931034483,"color","irrelevant"
40,"RDK_motion","hard","other",1704.93333333333,0.625,"color","irrelevant"
40,"RDK_motion","hard","self",2095.25,0.727272727272727,"color","irrelevant"
40,"match_RDK","easy","other",1971.68292682927,0.773584905660377,"color",NA
40,"match_RDK","easy","self",1874.525,0.851063829787234,"color",NA
40,"match_RDK","hard","other",2022.23529411765,0.708333333333333,"color",NA
40,"match_RDK","hard","self",2026.69230769231,0.565217391304348,"color",NA
41,"RDK_color","easy","other",1022.39285714286,0.875,"color","relevant"
41,"RDK_color","easy","self",1049.44444444444,0.931034482758621,"color","relevant"
41,"RDK_color","hard","other",1303,0.84375,"color","relevant"
41,"RDK_color","hard","self",1250.9,0.625,"color","relevant"
41,"RDK_motion","easy","other",1753.375,0.516129032258065,"color","irrelevant"
41,"RDK_motion","easy","self",1634.09523809524,0.7,"color","irrelevant"
41,"RDK_motion","hard","other",2150.60869565217,0.71875,"color","irrelevant"
41,"RDK_motion","hard","self",1695.13333333333,0.5,"color","irrelevant"
41,"match_RDK","easy","other",1586.85714285714,0.890909090909091,"color",NA
41,"match_RDK","easy","self",1317.90384615385,0.962962962962963,"color",NA
41,"match_RDK","hard","other",1868.32558139535,0.811320754716981,"color",NA
41,"match_RDK","hard","self",1665.60526315789,0.791666666666667,"color",NA
42,"RDK_color","easy","other",1626,0.91304347826087,"color","relevant"
42,"RDK_color","easy","self",1827.5,0.866666666666667,"color","relevant"
42,"RDK_color","hard","other",2540.64285714286,0.538461538461538,"color","relevant"
42,"RDK_color","hard","self",1749.52631578947,0.76,"color","relevant"
42,"RDK_motion","easy","other",2414.3,0.952380952380952,"color","irrelevant"
42,"RDK_motion","easy","self",2540.73913043478,0.92,"color","irrelevant"
42,"RDK_motion","hard","other",2738.83333333333,0.6,"color","irrelevant"
42,"RDK_motion","hard","self",2992.36842105263,0.95,"color","irrelevant"
42,"match_RDK","easy","other",2122.4693877551,0.907407407407407,"color",NA
42,"match_RDK","easy","self",1802.5,0.875,"color",NA
42,"match_RDK","hard","other",1928.06451612903,0.645833333333333,"color",NA
42,"match_RDK","hard","self",2122.09756097561,0.773584905660377,"color",NA
43,"RDK_color","easy","other",1355.03125,1,"color","relevant"
43,"RDK_color","easy","self",1689.86206896552,0.935483870967742,"color","relevant"
43,"RDK_color","hard","other",1625.57692307692,0.8125,"color","relevant"
43,"RDK_color","hard","self",1678.91304347826,0.71875,"color","relevant"
43,"RDK_motion","easy","other",1706.09523809524,0.724137931034483,"color","irrelevant"
43,"RDK_motion","easy","self",1623.72,0.862068965517241,"color","irrelevant"
43,"RDK_motion","hard","other",1397.15,0.645161290322581,"color","irrelevant"
43,"RDK_motion","hard","self",1794.95454545455,0.709677419354839,"color","irrelevant"
43,"match_RDK","easy","other",1898.95555555556,0.833333333333333,"color",NA
43,"match_RDK","easy","self",2117.65909090909,0.88,"color",NA
43,"match_RDK","hard","other",2414.225,0.833333333333333,"color",NA
43,"match_RDK","hard","self",2012.5,0.653846153846154,"color",NA
44,"RDK_color","easy","other",882.222222222222,0.84375,"color","relevant"
44,"RDK_color","easy","self",831.51724137931,0.90625,"color","relevant"
44,"RDK_color","hard","other",946.238095238095,0.65625,"color","relevant"
44,"RDK_color","hard","self",845.304347826087,0.71875,"color","relevant"
44,"RDK_motion","easy","other",740.583333333333,0.75,"color","irrelevant"
44,"RDK_motion","easy","self",649.538461538462,0.8125,"color","irrelevant"
44,"RDK_motion","hard","other",737.315789473684,0.59375,"color","irrelevant"
44,"RDK_motion","hard","self",724.05,0.645161290322581,"color","irrelevant"
44,"match_RDK","easy","other",1343.97674418605,0.767857142857143,"color",NA
44,"match_RDK","easy","self",1376.13953488372,0.767857142857143,"color",NA
44,"match_RDK","hard","other",1390.64102564103,0.709090909090909,"color",NA
44,"match_RDK","hard","self",1336.3,0.535714285714286,"color",NA
45,"RDK_color","easy","other",981.518518518518,0.84375,"color","relevant"
45,"RDK_color","easy","self",828.740740740741,0.84375,"color","relevant"
45,"RDK_color","hard","other",837.739130434783,0.71875,"color","relevant"
45,"RDK_color","hard","self",778.037037037037,0.9,"color","relevant"
45,"RDK_motion","easy","other",1232.19047619048,0.65625,"color","irrelevant"
45,"RDK_motion","easy","self",1305.60869565217,0.71875,"color","irrelevant"
45,"RDK_motion","hard","other",1199.2,0.625,"color","irrelevant"
45,"RDK_motion","hard","self",1476.875,0.75,"color","irrelevant"
45,"match_RDK","easy","other",1370.77272727273,0.8,"color",NA
45,"match_RDK","easy","self",1266.93333333333,0.818181818181818,"color",NA
45,"match_RDK","hard","other",1464.78947368421,0.690909090909091,"color",NA
45,"match_RDK","hard","self",1417.58333333333,0.642857142857143,"color",NA
46,"RDK_color","easy","other",1555.41379310345,0.966666666666667,"color","relevant"
46,"RDK_color","easy","self",1726.76923076923,0.8125,"color","relevant"
46,"RDK_color","hard","other",2077.28,0.833333333333333,"color","relevant"
46,"RDK_color","hard","self",1622.625,0.75,"color","relevant"
46,"RDK_motion","easy","other",2201.09090909091,0.956521739130435,"color","irrelevant"
46,"RDK_motion","easy","self",2012.22222222222,0.857142857142857,"color","irrelevant"
46,"RDK_motion","hard","other",2611.41176470588,0.708333333333333,"color","irrelevant"
46,"RDK_motion","hard","self",2053.75,0.761904761904762,"color","irrelevant"
46,"match_RDK","easy","other",1710.17857142857,1,"color",NA
46,"match_RDK","easy","self",1812.69696969697,0.611111111111111,"color",NA
46,"match_RDK","hard","other",1770.56818181818,0.8,"color",NA
46,"match_RDK","hard","self",1973.48,0.446428571428571,"color",NA
47,"RDK_color","easy","other",1544.125,0.774193548387097,"color","relevant"
47,"RDK_color","easy","self",1315.22222222222,0.84375,"color","relevant"
47,"RDK_color","hard","other",1609.70588235294,0.586206896551724,"color","relevant"
47,"RDK_color","hard","self",1601.52173913043,0.71875,"color","relevant"
47,"RDK_motion","easy","other",1789.90476190476,0.724137931034483,"color","irrelevant"
47,"RDK_motion","easy","self",1674.75,0.8,"color","irrelevant"
47,"RDK_motion","hard","other",1756.3,0.740740740740741,"color","irrelevant"
47,"RDK_motion","hard","self",1574.11538461538,0.928571428571429,"color","irrelevant"
47,"match_RDK","easy","other",2534.70588235294,0.80952380952381,"color",NA
47,"match_RDK","easy","self",1975.68571428571,0.74468085106383,"color",NA
47,"match_RDK","hard","other",2406.53846153846,0.577777777777778,"color",NA
47,"match_RDK","hard","self",2435.41666666667,0.818181818181818,"color",NA
48,"RDK_color","easy","other",2478.9,0.869565217391304,"color","relevant"
48,"RDK_color","easy","self",1777.52380952381,0.875,"color","relevant"
48,"RDK_color","hard","other",1911.4,0.75,"color","relevant"
48,"RDK_color","hard","self",2242.77777777778,0.947368421052632,"color","relevant"
48,"RDK_motion","easy","other",1706.88,0.892857142857143,"color","irrelevant"
48,"RDK_motion","easy","self",1604.16,0.925925925925926,"color","irrelevant"
48,"RDK_motion","hard","other",1507.36363636364,0.916666666666667,"color","irrelevant"
48,"RDK_motion","hard","self",1785.13636363636,0.956521739130435,"color","irrelevant"
48,"match_RDK","easy","other",2051.41666666667,0.923076923076923,"color",NA
48,"match_RDK","easy","self",2161.47619047619,0.933333333333333,"color",NA
48,"match_RDK","hard","other",2243,0.666666666666667,"color",NA
48,"match_RDK","hard","self",2453.27586206897,0.852941176470588,"color",NA
49,"RDK_color","easy","other",2401.25,0.857142857142857,"color","relevant"
49,"RDK_color","easy","self",2226.37931034483,0.966666666666667,"color","relevant"
49,"RDK_color","hard","other",2535.21739130435,0.766666666666667,"color","relevant"
49,"RDK_color","hard","self",3039.5,0.666666666666667,"color","relevant"
49,"RDK_motion","easy","other",1816.46153846154,0.866666666666667,"color","irrelevant"
49,"RDK_motion","easy","self",2075.79166666667,0.827586206896552,"color","irrelevant"
49,"RDK_motion","hard","other",1942.77272727273,0.814814814814815,"color","irrelevant"
49,"RDK_motion","hard","self",1654.84,0.862068965517241,"color","irrelevant"
49,"match_RDK","easy","other",2188.54,0.892857142857143,"color",NA
49,"match_RDK","easy","self",2248.5,0.714285714285714,"color",NA
49,"match_RDK","hard","other",2431.12765957447,0.854545454545454,"color",NA
49,"match_RDK","hard","self",2579.37837837838,0.660714285714286,"color",NA
50,"RDK_color","easy","other",932.096774193548,0.96875,"color","relevant"
50,"RDK_color","easy","self",1141.76,0.78125,"color","relevant"
50,"RDK_color","hard","other",918.5,0.75,"color","relevant"
50,"RDK_color","hard","self",967.055555555556,0.5625,"color","relevant"
50,"RDK_motion","easy","other",653.277777777778,0.5625,"color","irrelevant"
50,"RDK_motion","easy","self",831.666666666667,0.46875,"color","irrelevant"
50,"RDK_motion","hard","other",666.411764705882,0.53125,"color","irrelevant"
50,"RDK_motion","hard","self",652.944444444444,0.580645161290323,"color","irrelevant"
50,"match_RDK","easy","other",1263.52941176471,0.796875,"color",NA
50,"match_RDK","easy","self",1222.92727272727,0.859375,"color",NA
50,"match_RDK","hard","other",1389,0.515625,"color",NA
50,"match_RDK","hard","self",1128.52631578947,0.59375,"color",NA
51,"RDK_color","easy","other",1838.72,0.833333333333333,"color","relevant"
51,"RDK_color","easy","self",909.033333333333,0.967741935483871,"color","relevant"
51,"RDK_color","hard","other",1316.63636363636,0.34375,"color","relevant"
51,"RDK_color","hard","self",1259.08,0.833333333333333,"color","relevant"
51,"RDK_motion","easy","other",1141.41176470588,0.53125,"color","irrelevant"
51,"RDK_motion","easy","self",1254.66666666667,0.774193548387097,"color","irrelevant"
51,"RDK_motion","hard","other",1253.6875,0.516129032258065,"color","irrelevant"
51,"RDK_motion","hard","self",1142,0.5,"color","irrelevant"
51,"match_RDK","easy","other",2308.09803921569,0.864406779661017,"color",NA
51,"match_RDK","easy","self",1725.8275862069,0.920634920634921,"color",NA
51,"match_RDK","hard","other",1889.25714285714,0.564516129032258,"color",NA
51,"match_RDK","hard","self",1944.42857142857,0.80327868852459,"color",NA
52,"RDK_color","easy","other",897.241379310345,0.90625,"color","relevant"
52,"RDK_color","easy","self",830.344827586207,0.90625,"color","relevant"
52,"RDK_color","hard","other",917,0.71875,"color","relevant"
52,"RDK_color","hard","self",967.086956521739,0.71875,"color","relevant"
52,"RDK_motion","easy","other",1555.92,0.806451612903226,"color","irrelevant"
52,"RDK_motion","easy","self",1756.26086956522,0.741935483870968,"color","irrelevant"
52,"RDK_motion","hard","other",1909.56,0.78125,"color","irrelevant"
52,"RDK_motion","hard","self",1934.48,0.78125,"color","irrelevant"
52,"match_RDK","easy","other",1546.60416666667,0.75,"color",NA
52,"match_RDK","easy","self",1473.12903225806,0.96875,"color",NA
52,"match_RDK","hard","other",1750.05555555556,0.5625,"color",NA
52,"match_RDK","hard","self",1469.31481481481,0.84375,"color",NA
53,"RDK_color","easy","other",681.833333333333,0.9375,"color","relevant"
53,"RDK_color","easy","self",761.64,0.78125,"color","relevant"
53,"RDK_color","hard","other",911.565217391304,0.71875,"color","relevant"
53,"RDK_color","hard","self",946.75,0.75,"color","relevant"
53,"RDK_motion","easy","other",1198.25925925926,0.870967741935484,"color","irrelevant"
53,"RDK_motion","easy","self",1333.96296296296,0.870967741935484,"color","irrelevant"
53,"RDK_motion","hard","other",1423.08695652174,0.71875,"color","irrelevant"
53,"RDK_motion","hard","self",1451.81818181818,0.709677419354839,"color","irrelevant"
53,"match_RDK","easy","other",1405.5,0.945454545454545,"color",NA
53,"match_RDK","easy","self",1777.75510204082,0.907407407407407,"color",NA
53,"match_RDK","hard","other",1811.77272727273,0.8,"color",NA
53,"match_RDK","hard","self",2080.16129032258,0.574074074074074,"color",NA
54,"RDK_color","easy","other",1331.28571428571,0.7,"color","relevant"
54,"RDK_color","easy","self",1045.17857142857,0.903225806451613,"color","relevant"
54,"RDK_color","hard","other",1070.45,0.740740740740741,"color","relevant"
54,"RDK_color","hard","self",1166.03703703704,0.84375,"color","relevant"
54,"RDK_motion","easy","other",2044.27272727273,1,"color","irrelevant"
54,"RDK_motion","easy","self",2291.85185185185,1,"color","irrelevant"
54,"RDK_motion","hard","other",2408.70588235294,0.894736842105263,"color","irrelevant"
54,"RDK_motion","hard","self",2323.42857142857,0.91304347826087,"color","irrelevant"
54,"match_RDK","easy","other",1799.55813953488,0.781818181818182,"color",NA
54,"match_RDK","easy","self",1459.94117647059,0.927272727272727,"color",NA
54,"match_RDK","hard","other",2149.05128205128,0.764705882352941,"color",NA
54,"match_RDK","hard","self",1741.61224489796,0.907407407407407,"color",NA
55,"RDK_color","easy","other",1260.86206896552,0.90625,"color","relevant"
55,"RDK_color","easy","self",983,0.96875,"color","relevant"
55,"RDK_color","hard","other",1382.36363636364,0.6875,"color","relevant"
55,"RDK_color","hard","self",1153.83333333333,0.8,"color","relevant"
55,"RDK_motion","easy","other",2242.17647058824,0.894736842105263,"color","irrelevant"
55,"RDK_motion","easy","self",2284.20833333333,1,"color","irrelevant"
55,"RDK_motion","hard","other",2042.54545454545,0.733333333333333,"color","irrelevant"
55,"RDK_motion","hard","self",2149.90909090909,0.846153846153846,"color","irrelevant"
55,"match_RDK","easy","other",1684.68181818182,0.862745098039216,"color",NA
55,"match_RDK","easy","self",1419.83673469388,0.907407407407407,"color",NA
55,"match_RDK","hard","other",2146.75,0.653061224489796,"color",NA
55,"match_RDK","hard","self",1841.69444444444,0.666666666666667,"color",NA
56,"RDK_color","easy","other",980.464285714286,0.875,"color","relevant"
56,"RDK_color","easy","self",951.214285714286,0.875,"color","relevant"
56,"RDK_color","hard","other",982.08,0.78125,"color","relevant"
56,"RDK_color","hard","self",955.769230769231,0.40625,"color","relevant"
56,"RDK_motion","easy","other",876.6875,0.5,"color","irrelevant"
56,"RDK_motion","easy","self",855.15,0.625,"color","irrelevant"
56,"RDK_motion","hard","other",777.888888888889,0.5625,"color","irrelevant"
56,"RDK_motion","hard","self",830.052631578947,0.59375,"color","irrelevant"
56,"match_RDK","easy","other",1258.54347826087,0.821428571428571,"color",NA
56,"match_RDK","easy","self",1275.54347826087,0.821428571428571,"color",NA
56,"match_RDK","hard","other",1308.2972972973,0.672727272727273,"color",NA
56,"match_RDK","hard","self",1214.66666666667,0.696428571428571,"color",NA
57,"RDK_color","easy","other",1543.96153846154,0.866666666666667,"color","relevant"
57,"RDK_color","easy","self",1504.10526315789,0.76,"color","relevant"
57,"RDK_color","hard","other",2020.13333333333,0.5,"color","relevant"
57,"RDK_color","hard","self",1518.09523809524,0.724137931034483,"color","relevant"
57,"RDK_motion","easy","other",2143.22222222222,0.642857142857143,"color","irrelevant"
57,"RDK_motion","easy","self",1984.65,0.740740740740741,"color","irrelevant"
57,"RDK_motion","hard","other",1982.70588235294,0.586206896551724,"color","irrelevant"
57,"RDK_motion","hard","self",2146.61111111111,0.580645161290323,"color","irrelevant"
57,"match_RDK","easy","other",1995.40540540541,0.69811320754717,"color",NA
57,"match_RDK","easy","self",2318.60975609756,0.854166666666667,"color",NA
57,"match_RDK","hard","other",2172,0.666666666666667,"color",NA
57,"match_RDK","hard","self",2163.09090909091,0.511627906976744,"color",NA
58,"RDK_color","easy","other",1143.69230769231,0.928571428571429,"color","relevant"
58,"RDK_color","easy","self",1763.57894736842,0.678571428571429,"color","relevant"
58,"RDK_color","hard","other",1438.80769230769,0.962962962962963,"color","relevant"
58,"RDK_color","hard","self",1724.07142857143,0.518518518518518,"color","relevant"
58,"RDK_motion","easy","other",2023.375,0.615384615384615,"color","irrelevant"
58,"RDK_motion","easy","self",1784.52631578947,0.730769230769231,"color","irrelevant"
58,"RDK_motion","hard","other",1951.44444444444,0.666666666666667,"color","irrelevant"
58,"RDK_motion","hard","self",1795.13333333333,0.625,"color","irrelevant"
58,"match_RDK","easy","other",1846.45833333333,0.888888888888889,"color",NA
58,"match_RDK","easy","self",1701.12962962963,0.964285714285714,"color",NA
58,"match_RDK","hard","other",2184.8,0.833333333333333,"color",NA
58,"match_RDK","hard","self",2217.7619047619,0.777777777777778,"color",NA
59,"RDK_color","easy","other",2578.5652173913,1,"color","relevant"
59,"RDK_color","easy","self",2642.80769230769,0.962962962962963,"color","relevant"
59,"RDK_color","hard","other",2846.53846153846,0.65,"color","relevant"
59,"RDK_color","hard","self",2356.875,0.842105263157895,"color","relevant"
59,"RDK_motion","easy","other",1942.86363636364,0.88,"color","irrelevant"
59,"RDK_motion","easy","self",1765.36363636364,0.916666666666667,"color","irrelevant"
59,"RDK_motion","hard","other",2322.71428571429,0.875,"color","irrelevant"
59,"RDK_motion","hard","self",1960.58823529412,0.80952380952381,"color","irrelevant"
59,"match_RDK","easy","other",3134.53846153846,0.962962962962963,"color",NA
59,"match_RDK","easy","self",2993.02702702703,1,"color",NA
59,"match_RDK","hard","other",2982.5,0.714285714285714,"color",NA
59,"match_RDK","hard","self",2976.75,0.941176470588235,"color",NA
60,"RDK_color","easy","other",2429.94444444444,0.857142857142857,"color","relevant"
60,"RDK_color","easy","self",2468.44,1,"color","relevant"
60,"RDK_color","hard","other",2339.5,0.545454545454545,"color","relevant"
60,"RDK_color","hard","self",2121.04761904762,0.954545454545455,"color","relevant"
60,"RDK_motion","easy","other",2248.22727272727,0.814814814814815,"color","irrelevant"
60,"RDK_motion","easy","self",2306.38095238095,0.807692307692308,"color","irrelevant"
60,"RDK_motion","hard","other",1939.55555555556,0.692307692307692,"color","irrelevant"
60,"RDK_motion","hard","self",2387.7,0.740740740740741,"color","irrelevant"
60,"match_RDK","easy","other",2634.02702702703,0.755102040816326,"color",NA
60,"match_RDK","easy","self",1961.74074074074,0.981818181818182,"color",NA
60,"match_RDK","hard","other",3001.78571428571,0.571428571428571,"color",NA
60,"match_RDK","hard","self",2432.02127659574,0.87037037037037,"color",NA
61,"RDK_color","easy","other",1685.03846153846,0.928571428571429,"color","relevant"
61,"RDK_color","easy","self",2122.69565217391,0.92,"color","relevant"
61,"RDK_color","hard","other",1771.54166666667,0.923076923076923,"color","relevant"
61,"RDK_color","hard","self",2571.8,0.8,"color","relevant"
61,"RDK_motion","easy","other",2157.875,0.842105263157895,"color","irrelevant"
61,"RDK_motion","easy","self",1964.5652173913,0.958333333333333,"color","irrelevant"
61,"RDK_motion","hard","other",2281.73333333333,0.9375,"color","irrelevant"
61,"RDK_motion","hard","self",2179.94444444444,0.947368421052632,"color","irrelevant"
61,"match_RDK","easy","other",2135.26086956522,0.807017543859649,"color",NA
61,"match_RDK","easy","self",1820.83018867925,0.963636363636364,"color",NA
61,"match_RDK","hard","other",2003.46153846154,0.590909090909091,"color",NA
61,"match_RDK","hard","self",2342.1875,0.780487804878049,"color",NA
62,"RDK_color","easy","other",1418.59259259259,0.84375,"color","relevant"
62,"RDK_color","easy","self",1284.3,0.9375,"color","relevant"
62,"RDK_color","hard","other",1517.30434782609,0.71875,"color","relevant"
62,"RDK_color","hard","self",1224.13043478261,0.71875,"color","relevant"
62,"RDK_motion","easy","other",2131.45833333333,0.96,"color","irrelevant"
62,"RDK_motion","easy","self",1861.54166666667,0.888888888888889,"color","irrelevant"
62,"RDK_motion","hard","other",2055.8125,1,"color","irrelevant"
62,"RDK_motion","hard","self",2418.44444444444,0.782608695652174,"color","irrelevant"
62,"match_RDK","easy","other",2122.9,0.816326530612245,"color",NA
62,"match_RDK","easy","self",1626.57692307692,0.962962962962963,"color",NA
62,"match_RDK","hard","other",2141.89473684211,0.387755102040816,"color",NA
62,"match_RDK","hard","self",1882.17021276596,0.94,"color",NA
63,"RDK_color","easy","other",1477.625,0.75,"color","relevant"
63,"RDK_color","easy","self",1141.92857142857,0.875,"color","relevant"
63,"RDK_color","hard","other",1955.88235294118,0.548387096774194,"color","relevant"
63,"RDK_color","hard","self",1162.51724137931,0.935483870967742,"color","relevant"
63,"RDK_motion","easy","other",1612.35714285714,0.466666666666667,"color","irrelevant"
63,"RDK_motion","easy","self",2046.05882352941,0.548387096774194,"color","irrelevant"
63,"RDK_motion","hard","other",1774.76470588235,0.586206896551724,"color","irrelevant"
63,"RDK_motion","hard","self",1540.93333333333,0.483870967741935,"color","irrelevant"
63,"match_RDK","easy","other",2195.39534883721,0.796296296296296,"color",NA
63,"match_RDK","easy","self",1820.88,0.961538461538462,"color",NA
63,"match_RDK","hard","other",2263.26086956522,0.433962264150943,"color",NA
63,"match_RDK","hard","self",1896.55263157895,0.76,"color",NA
64,"RDK_color","easy","other",1704.93548387097,0.96875,"color","relevant"
64,"RDK_color","easy","self",1700.72727272727,0.733333333333333,"color","relevant"
64,"RDK_color","hard","other",1925.19230769231,0.866666666666667,"color","relevant"
64,"RDK_color","hard","self",1734.47368421053,0.655172413793103,"color","relevant"
64,"RDK_motion","easy","other",1630.74193548387,1,"color","irrelevant"
64,"RDK_motion","easy","self",1547.5,0.967741935483871,"color","irrelevant"
64,"RDK_motion","hard","other",2175.44,0.925925925925926,"color","irrelevant"
64,"RDK_motion","hard","self",1921.4347826087,0.884615384615385,"color","irrelevant"
64,"match_RDK","easy","other",1777.97959183673,0.98,"color",NA
64,"match_RDK","easy","self",1892.25,0.962962962962963,"color",NA
64,"match_RDK","hard","other",2058.68421052632,0.826086956521739,"color",NA
64,"match_RDK","hard","self",2291.44444444444,0.882352941176471,"color",NA
65,"RDK_color","easy","other",1575.53125,1,"color","relevant"
65,"RDK_color","easy","self",1599.84615384615,0.8125,"color","relevant"
65,"RDK_color","hard","other",1695.36,0.78125,"color","relevant"
65,"RDK_color","hard","self",2263.91304347826,0.741935483870968,"color","relevant"
65,"RDK_motion","easy","other",1217.85185185185,0.84375,"color","irrelevant"
65,"RDK_motion","easy","self",1277.75,0.875,"color","irrelevant"
65,"RDK_motion","hard","other",1604.41666666667,0.774193548387097,"color","irrelevant"
65,"RDK_motion","hard","self",1369.55172413793,0.90625,"color","irrelevant"
65,"match_RDK","easy","other",1423.48,0.943396226415094,"color",NA
65,"match_RDK","easy","self",1575.3137254902,0.944444444444444,"color",NA
65,"match_RDK","hard","other",1815.9756097561,0.803921568627451,"color",NA
65,"match_RDK","hard","self",2015.2972972973,0.69811320754717,"color",NA
1,"RDK_color","easy","other",881.153846153846,0.8125,"motion","irrelevant"
